step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
132,14.370356492262314,14.318748759440751,1.020822079730203,0.3527001331718227,4.712304883915889,0.0,0.0,0.0,0.5419516059001461,17.1,1.0,8.816185517485874
133,14.361134407204187,14.310421355137834,1.0091785217927915,0.352648383512418,4.70408274145041,0.0,0.0,0.0,0.5423968252175346,17.2,1.0,9.746543139733294
134,14.351905003446035,14.302070670368128,0.9975450592539274,0.3526021579167505,4.695883452707979,0.0,0.0,0.0,0.5428511352127404,17.3,1.0,9.785127363690993
135,14.342667745456183,14.293696376309034,0.985929859360572,0.35256243309910096,4.687706791189138,0.0,0.0,0.0,0.5584270382946224,17.5,1.0,9.84262564951179
136,14.333422079281718,14.285298133768908,0.9743456732363496,0.3525297952204163,4.679552314737016,0.0,0.0,0.0,0.5432367068344491,17.5,1.0,9.84262564951179
137,14.324167423203352,14.276875588375935,0.962809529003868,0.34997222941078454,4.67141937605235,0.0,0.0,0.0,0.5285568998897129,17.5,1.0,9.84262564951179
138,14.314903168258919,14.268428366067951,0.9513339615442851,0.34712858943271496,4.663307130777778,0.0,0.0,0.0,0.5143746101035593,17.5,1.0,9.84262564951179
139,14.305628680379456,14.259956068537264,0.9399252029792502,0.3444448495947103,4.6552145475615125,0.0,0.0,0.0,0.5006770067549129,17.5,1.0,9.84262564951179
140,14.296343300780133,14.251458268579857,0.9285846654529395,0.34192425238933094,4.647140419685763,0.0,0.0,0.0,0.5026162428184864,17.6,1.0,9.86407679245401
141,14.287046341316412,14.242934505427572,0.9173141105768344,0.33956848315282084,4.639083377282431,0.0,0.0,0.0,0.4894387175380299,17.6,1.0,9.86407679245401
142,14.277737080304988,14.234384280228673,0.9061172595361441,0.33737766688648785,4.631041897163224,0.0,0.0,0.0,0.5071487231297924,17.8,1.0,9.944278240171274
143,14.268414758078858,14.225807051511296,0.8950003360109628,0.3353504073920525,4.623014314607493,0.0,0.0,0.0,0.4939510500579778,17.8,1.0,9.944278240171274
144,14.259078564608505,14.217202230863574,0.8839850951733114,0.3334838687289613,4.614998909950798,0.0,0.0,0.0,0.49610181362996364,17.9,1.0,10.924964529675222
145,14.249727651109978,14.208569192488184,0.8731193428956386,0.3317738929581743,4.606993913423149,0.0,0.0,0.0,0.4833406973581646,17.9,1.0,10.924964529675222
146,14.240361145128508,14.19990728445127,0.8624916675927821,0.3302151527773397,4.598997484539943,0.0,0.0,0.0,0.4710215096567815,17.9,1.0,10.924964529675222
147,14.230978149482103,14.191215823676904,0.8520867796042213,0.32880133004500284,4.591007704866481,0.0,0.0,0.0,0.4591328386599832,17.9,1.0,10.924964529675222
148,14.221577739934114,14.182494090983461,0.8417931097948619,0.32752531010372327,4.583022575115022,0.0,0.0,0.0,0.4476636146672789,17.9,1.0,10.924964529675222
149,14.212158961936543,14.173741326269726,0.8315561351330516,0.32637938209794815,4.575040015732322,0.0,0.0,0.0,0.45194304780646855,18.0,1.0,10.957974473436789
150,14.202720825945317,14.164956723920271,0.8213551803473855,0.32535542782520505,4.567057870103356,0.0,0.0,0.0,0.45584700610467815,18.1,1.0,11.942354912512723
151,14.193262304278107,14.156139437126567,0.8111868602971034,0.32444510232905366,4.559073908557795,0.0,0.0,0.0,0.45966267267945216,18.2,1.0,12.916127640564381
152,14.18378234837391,14.147288597124241,0.8010542402771532,0.32364000875304094,4.551085829563451,0.0,0.0,0.0,0.4484009483479858,18.2,1.0,12.916127640564381
153,14.174279907418022,14.138403329511593,0.7909610048450294,0.3229318548596419,4.543091265661449,0.0,0.0,0.0,0.43753660221958596,18.2,1.0,12.916127640564381
154,14.16475392538356,14.129482749266769,0.7809084985442497,0.3223125646991415,4.535087798165486,0.0,0.0,0.0,0.4270597173029048,18.2,1.0,12.916127640564381
155,14.15520333548918,14.120525953983421,0.7708964807845967,0.32177438579653694,4.527072968767236,0.0,0.0,0.0,0.41696061700994963,18.2,1.0,12.916127640564381
156,14.145627054291964,14.111532017323407,0.7609238791189633,0.3213099728232781,4.519044288713117,0.0,0.0,0.0,0.4072298673824876,18.2,1.0,12.916127640564381
157,14.136023975267463,14.102499982485357,0.7509893707875648,0.32091244659918794,4.5109992460197095,0.0,0.0,0.0,0.4133473350131094,18.3,1.0,13.867362506420157
158,14.126392962723383,14.093428856312492,0.7410917000470996,0.32057543031902613,4.502935311014111,0.0,0.0,0.0,0.40380315476629897,18.3,1.0,13.867362506420157
159,14.116732855575624,14.084317617051154,0.7312330914431708,0.32029306666521734,4.49484994042873,0.0,0.0,0.0,0.4251267049007135,18.5,1.0,14.913869802348508
160,14.107044165720742,14.075166715416053,0.7211855386128982,0.32006001667525397,4.486740578056123,0.0,0.0,0.0,0.4153725601011233,18.5,1.0,14.913869802348508
161,14.097327384026821,14.065976616233973,0.7109753836234793,0.31987152543179553,4.478604654368594,0.0,0.0,0.0,0.40598457240752506,18.5,1.0,14.913869802348508
162,14.08758295759029,14.056747779004478,0.7006392072174563,0.31972335788108674,4.4704396563618625,0.0,0.0,0.0,0.41222774352364333,18.6,1.0,14.999999999999991
163,14.077811295179083,14.047480657960596,0.6902122855204091,0.31961174261852554,4.4622431789629164,0.0,0.0,0.0,0.4031529553951113,18.6,1.0,14.999999999999991
